username_length,full_name_length,followers,following,posts,bio_length,has_external_url,has_profile_pic,is_private,is_verified,engagement_rate,label,follower_following_ratio,posts_per_follower
7,7,27247,1619,485,37,0,1,0,0,0.07801887168764111,0,16.819135802469138,0.017799471520845565
27,1,224,948,14,18,1,0,0,0,0.013507159433880138,1,0.23603793466807166,0.06222222222222222
7,10,2813,202,480,74,0,1,0,0,0.09935905485104386,0,13.857142857142858,0.17057569296375266
25,7,203,7180,11,10,1,1,0,0,0.01010198123498915,1,0.028269043308731374,0.05392156862745098
18,8,52,3409,12,1,0,1,0,0,0.019430803886170304,1,0.015249266862170088,0.22641509433962265
15,30,5036,791,490,142,0,1,1,0,0.060819817707334335,0,6.358585858585859,0.09728012705975779
6,32,41563,1113,172,143,0,1,0,0,0.0733531984152969,0,37.309694793536806,0.0041381965162159565
20,26,11386,1640,31,33,0,1,1,0,0.0311210754175954,0,6.938452163315052,0.0027224027399666284
9,28,3044,771,113,64,1,0,0,0,0.02242013727447635,0,3.94300518134715,0.03711001642036125
12,12,44485,432,401,61,0,1,1,0,0.06667395758984221,0,102.73672055427252,0.009014071842826956
18,5,227,1324,12,10,0,0,0,0,0.008163447774620733,1,0.17132075471698113,0.05263157894736842
16,3,253,5137,8,22,0,1,0,0,0.00631756532805222,1,0.049240949785908913,0.031496062992125984
14,22,25124,440,110,74,0,1,0,0,0.033990134124711247,0,56.97052154195011,0.004378109452736319
16,29,18631,1599,242,95,0,1,0,0,0.07378832138242089,0,11.644375,0.012988407041648777
26,3,69,4186,9,16,0,0,0,0,0.009698968794844536,1,0.01647957965130165,0.12857142857142856
28,9,54,3960,10,28,0,0,0,0,0.0008652976130309909,1,0.01363292097955062,0.18181818181818182
12,34,26004,1387,415,44,1,1,1,0,0.039151296513203426,0,18.734870317002883,0.015958469525091327
10,15,28014,1505,137,141,0,1,0,0,0.010725164587283292,0,18.60159362549801,0.00489023737283598
15,23,34743,1893,234,17,1,1,1,0,0.07694273716500155,0,18.343717001055968,0.0067349758231637115
20,14,7402,707,380,130,0,1,0,0,0.10200356080123953,0,10.454802259887005,0.05133054167229502
12,20,39841,1530,476,89,0,1,0,0,0.11509528634869323,0,26.022860875244938,0.011947191406053914
7,16,39610,992,464,78,0,1,0,0,0.10069077150022325,0,39.889224572004025,0.011713917851101967
20,5,105,6832,17,4,0,1,1,0,0.01433901490633432,1,0.015366603248938973,0.16037735849056603
17,27,2226,1255,460,130,0,1,1,0,0.0549076984581649,0,1.7722929936305734,0.20655590480466995
17,4,298,1955,14,20,0,0,0,0,0.0003738237652400045,1,0.1523517382413088,0.046822742474916385
21,32,13368,183,384,144,0,1,0,0,0.04541813960125363,0,72.65217391304348,0.02872316553220136
16,5,293,746,11,9,1,0,0,0,0.007331209491392254,1,0.392235609103079,0.03741496598639456
28,8,177,5549,3,23,0,0,0,0,0.00860056350633178,1,0.03189189189189189,0.016853932584269662
20,0,112,879,8,21,0,1,1,0,0.014881144740713032,1,0.12727272727272726,0.07079646017699115
10,14,12039,393,96,122,1,1,1,0,0.014937425404639543,0,30.555837563451778,0.007973421926910298
22,9,211,2963,2,27,0,1,0,0,0.012583629091541712,1,0.07118758434547909,0.009433962264150943
12,12,48290,1567,55,56,0,1,1,0,0.029561952940994285,0,30.79719387755102,0.0011389285788242116
22,5,74,902,0,25,0,0,1,0,0.0034041567767633786,1,0.08194905869324474,0.0
17,2,198,6011,8,3,0,1,0,0,0.013566380719705836,1,0.03293413173652695,0.04020100502512563
19,3,187,4873,3,18,1,0,0,0,0.009325484810684475,1,0.03836684448091916,0.015957446808510637
21,10,39980,647,392,63,0,1,1,0,0.044601282762819064,0,61.69753086419753,0.009804657212175783
5,13,32143,1550,468,122,0,1,1,0,0.10475478997095994,0,20.724049000644744,0.014559482329517173
7,29,33080,463,425,86,0,1,0,0,0.052818576486521225,0,71.29310344827586,0.01284725371058916
22,9,20,6287,16,29,0,1,0,0,0.0037426569939024647,1,0.0031806615776081423,0.7619047619047619
26,8,83,7135,10,14,0,0,0,0,0.011709281891858846,1,0.011631165919282512,0.11904761904761904
26,0,125,4864,7,29,0,1,0,0,0.011526362994989001,1,0.025693730729701953,0.05555555555555555
21,14,1495,1890,34,50,0,1,0,0,0.027279201239180068,0,0.7905869910100476,0.022727272727272728
16,9,41,1253,18,29,0,0,0,0,0.0033297879991450595,1,0.03269537480063796,0.42857142857142855
16,33,9356,516,309,75,0,1,0,0,0.05473482025063244,0,18.096711798839458,0.03302340493747996
21,9,0,1395,14,22,0,0,0,0,0.01776686435301755,1,0.0,14.0
